kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60; 
4292;2200-2230;;CAN;VFF Iqaluit Meteo Fax;E;NAm;in;1;1005;3110
4295;0000-2400;;F;FUE Brest STANAG;F;Eu;;1;;[0119]
4298;0340-0610;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
4298;0950-1210;;ALS;NOJ Fax Kodiak;;WNA;k;1;;[1218]
4298;1540-1820;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
4298;2150-0030;;ALS;NOJ Fax Kodiak;;WNA;k;1;;
4305;0000-2400;;CHN;XSZ Dalian Radio (x05);M;FE;da;1;;
4310;0600-1800;;RUS;Goose Channel Marker;;RUS;;1;;
4316;0000-0300;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;[0618]
4316;0430-0800;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;
4316;1100-1230;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;
4316;1335-1530;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;
4316;1645-2000;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;
4316;2215-2245;;J;JJC Kyodo News Agcy Fax;;FE;ky;1;;
4316;0330-0405;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0520]
4316;0515-0550;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0919]
4316;0930-1005;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;1115-1150;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;1530-1605;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;1715-1750;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
4316;2130-2245;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0120]
4316;2315-2350;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0317]
4317.9;0000-0305;;USA;NMG Fax New Orleans;;Car;nm;1;;
4317.9;0600-0855;;USA;NMG Fax New Orleans;;Car;nm;1;;
4317.9;1200-1505;;USA;NMG Fax New Orleans;;Car;nm;1;;[0918]
4317.9;1800-2105;;USA;NMG Fax New Orleans;;Car;nm;1;;
4322;0350-0420;;CHL;CBM Magallanes Fax;S;CHL;pa;1;;
4322;1550-1635;;CHL;CBM Magallanes Fax;S;CHL;pa;1;;
4322;1730-1800;;CHL;CBM Magallanes Fax;S;CHL;pa;1;;
4322;2005-2035;;CHL;CBM Magallanes Fax;S;CHL;pa;1;;
4322;2240-2325;;CHL;CBM Magallanes Fax;S;CHL;pa;1;;
4326;0000-2400;;RUS;Channel Marker R;-CW;RUS;iz;1;;[0415]
4331;0000-2400;;ISR;4XZ Israeli Navy Haifa;-CW;;;1;;[0519]
4346;0140-0415;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0519]
4346;0655-1015;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0918]
4346;1120-1235;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[1218]
4346;1400-1615;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
4351;0900-1600;;CHN;XSZ Dalian Radio (x40);M;FE;da;1;;
4357;1235-1245;;CHL;CBV Valparaiso Radio;S;CHL;;1;;
4357;2335-2345;;CHL;CBV Valparaiso Radio;S;CHL;;1;;
4357;0905-0915;;NMB;V5W Walvis Bay Radio;E;NMB;wb;1;;
4357;0935-0945;;NMB;V5W Walvis Bay Radio;E;NMB;wb;1;;
4357;1235-1245;;NMB;V5W Walvis Bay Radio;E;NMB;wb;1;;
4357;1605-1615;;NMB;V5W Walvis Bay Radio;E;NMB;wb;1;;
4357;1635-1645;;NMB;V5W Walvis Bay Radio;E;NMB;wb;1;;
4357;0233-0248;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;0633-0648;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;1033-1048;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;1203-1218;;NOR;Telenor Kystradio;E;NEu;ly;1;;
4357;1433-1448;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;1833-1848;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;2233-2248;;NOR;Telenor Kystradio;NO;NEu;ly;1;;
4357;2303-2318;;NOR;Telenor Kystradio;E;NEu;ly;1;;
4357.4;0003-0013;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
4357.4;1403-1413;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
4357.4;2103-2113;;URG;Punta Carretas Radio Wx;S;URG;pc;1;;
4363;0115-0200;;CAN;VFF Iqaluit Radio;E;NAm;hr;1;1005;3110
4363;0235-0300;;CAN;VFF Iqaluit Radio;E;NAm;cb;1;0107;1010
4363;1240-1300;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
4363;1315-1400;;CAN;VFF Iqaluit Radio;E;ENA;hr;1;1005;3110
4363;1410-1430;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
4363;1435-1500;;CAN;VFF Iqaluit Radio;E;NAm;cb;1;0107;1010
4363;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;cb;1;0107;1010
4363;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
4363;1705-1745;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
4363;2235-2315;;CAN;VFF Iqaluit Radio;E;ENA;i;1;1005;3112
4363;2310-2350;;CAN;VFF Iqaluit Radio;E;ENA;r;1;1007;3110
4363;0730-0800;;MCO;3AC Radio Monaco;F,E;SEu;/F-ma;2;;
4363;0930-0940;;MCO;3AC Radio Monaco;F,E;NAO;/F-ma;1;;
4363;1203-1230;;MCO;3AC Radio Monaco;F,E;SEu;/F-ma;2;;
4363;1730-1800;;MCO;3AC Radio Monaco;F,E;SEu;/F-ma;2;;[1018]
4372;0003-0013;;FJI;3DP Suva Radio;E;SOc;;5;;
4372;0403-0413;;FJI;3DP Suva Radio;E;SOc;;3;;
4372;0803-0813;;FJI;3DP Suva Radio;E;SOc;;3;;
4372;2003-2013;;FJI;3DP Suva Radio;E;SOc;;3;;
4372;2303-2313;;FJI;3DP Suva Radio;E;SOc;;4;;
4381;0005-0015;;GRL;OYR Aasiaat Radio;E;GRL;qe;4;;
4381;0035-0045;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;0335-0345;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;0635-0645;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;0805-0815;;GRL;OYR Aasiaat Radio;E;GRL;qe;2;;
4381;0935-0945;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;1235-1245;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;1305-1315;;GRL;OYR Aasiaat Radio;E;GRL;qe;2;;
4381;1535-1545;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;1805-1815;;GRL;OYR Aasiaat Radio;E;GRL;qe;5;;
4381;1835-1845;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;1905-1915;;GRL;OYR Aasiaat Radio;E;GRL;qe;4;;
4381;2135-2145;;GRL;OYR Aasiaat Radio;E;GRL;qe;1;;
4381;2305-2315;;GRL;OYR Aasiaat Radio;E;GRL;qe;5;;
4384;0100-0106;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0200-0206;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0300-0306;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0400-0406;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0500-0506;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0600-0606;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0700-0706;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;0900-0906;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;1100-1109;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;1300-1306;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;1500-1510;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;1910-1920;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;2010-2020;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;2110-2120;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4384;2210-2220;;CHN;XSQ Guangzhou Radio;M;FE;gx;1;;
4387;0000-2400;;TUR;TAH Turk Radio Istanbul;E;ME;is;1;;
4399;0020-0040;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4399;0220-0240;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4399;0420-0440;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4399;1820-1840;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4399;2020-2040;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4399;2220-2240;;CHN;XSV Tianjin Radio;M;FE;tj;1;;
4402;0115-0125;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;0433-0443;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;0730-0740;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;1233-1243;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;1315-1325;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;1603-1613;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4402;1930-1940;;MAU;3BB Mauritius Radio;E;MAU;;1;;
4405;0955-1020;;TUR;TAH Turk Radio Istanbul;TU;ME;is;1;;
4405;1700-1730;;TUR;TAH Turk Radio Istanbul;TU;ME;is;1;;[1116]
4405;1755-1830;;TUR;TAH Turk Radio Istanbul;TU;ME;is;1;;[0420]
4409.8;0900-1100;;BOL;Radio Eco, Reyes;S;BOL;;1;;[0418]
4409.8;2230-0200;;BOL;Radio Eco, Reyes;S;BOL;;1;;[0618]
4411;1800-0600;;CHN;Haikou Radio (x20);M;FE;hk;1;;
4411;0730-0745;;F;Radio Vacation Pêche;F;WEu;sg;2;;
4414;0000-2400;;TUR;TAH Turk Radio Istanbul;E;ME;is;1;;
4416;2200-2240;;CAN;VCO Sydney Meteo Fax;;ENA;sm;1;;[0318]
4416;2331-2400;;CAN;VCO Sydney Meteo Fax;;ENA;sm;1;;
4417;0000-2400;;I;Romaradio IAR;I;SEu;r;1;;
4417;0000-2400;;USA;CruiseEmail;-CW;NAO;wx;1;;
4420;2240-0640;;EST;Tallinn Radio;E;NEu;ta;1;;
4426;2100-0800;;AUS;VMC Charleville QL;E;AUS;c;1;;
4426;0430-0505;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[0520]
4426;1030-1105;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[0314]
4426;0330-0425;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0820]
4426;0515-0550;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0619]
4426;0930-1005;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0217]
4429;0000-2400;;USA;CruiseEmail;-CW;SAO;/B-sy;1;;
4439.5;0000-2400;;USA;CruiseEmail;-CW;Car;wg;1;;
4445;0000-2400;alt;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0520]
4450;0000-2400;;CLA;Voice of the People;K;KRE;/KOR-g;1;;[1020]
4451.1;2230-2400;;BOL;Radio Santa Ana;S;BOL;ay;1;;[0116]
4455;0000-2400;;CLA;Voice of the People;K;KRE;/KOR-g;1;;[0520]
4460;1300-1310;Th;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0119]
4481.3;0845-1100;;GRC;SWA18 Athens Meteo Fax;;SEE;o;1;;[0419]
4500;1210-1800;;CHN;PBS Xinjiang;MO;CHN;uc;4;;[0220]
4500;2340-0330;;CHN;PBS Xinjiang;MO;CHN;uc;4;;[0420]
4505;0710-0720;SaSu;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0119]
4505;1605-1615;Su;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802[0219]
4505;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0111;2802
4505;1930-1940;SaSu;POL;E11 Polish Spy Numbers;E;;p;1;0103;3004[0319]
4505;1930-1940;SaSu;POL;E11 Polish Spy Numbers;E;;p;1;0109;3110
4505;0915-0925;Mo,Fr;POL;S11a Polish Spy Numbers;R;;p;1;0103;3004
4505;0915-0925;Mo,Fr;POL;S11a Polish Spy Numbers;R;;p;1;0109;3110
4519;1830-1840;Th;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0219]
4525;0000-2400;;XUU;Channel Marker T;-CW;;;1;;[0118]
4528;1800-1810;Mo;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0219]
4533;1830-1840;Th;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0219]
4535;0633-0648;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4543;0000-2400;;USA;CODAR Sweeper;;Car;ds;1;;[1019]
4557;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;k;1;;
4557;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;k;1;;
4557;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;k;1;;
4557;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;k;1;;
4557.7;0000-2400;;RUS;Channel Marker D;-CW;EEu;se;1;;[0417]
4557.8;0000-2400;;RUS;Channel Marker P;-CW;RUS;kl;1;;
4557.9;0000-2400;;RUS;Channel Marker S;-CW;RUS;sm;1;;[1018]
4558;0000-2400;;RUS;Channel Marker C;-CW;RUS;m;1;;
4558.1;0000-2400;;RUS;Channel Marker A;-CW;RUS;as;1;;[0818]
4558.2;0000-2400;;RUS;Channel Marker F;-CW;FE;vl;1;;
4558.3;0000-2400;;RUS;Channel Marker K;-CW;FE;as;1;;
4558.4;0000-2400;;RUS;Channel Marker M;-CW;FE;mg;1;;
4583;0000-2400;;D;DWD 1 Pinneberg RTTY;E;Eu;pi;1;;[0320]
4598;1300-1310;Th;RUS;G06 Russian Spy Numbers;D;;sk;1;0103;3004[0418]
4598;1300-1310;Th;RUS;G06 Russian Spy Numbers;D;;sk;1;0109;3110
4610;0600-2000;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;[0718]
4610;2000-0600;;G;GYA Northwood Meteo Fax;;WEu;nw;1;;[0320]
4620;0633-0648;;AUS;VMT Hobart Radio Wx;E;Tas;;1;;
4625;0000-2400;;RUS;The Buzzer;;RUS;B2;1;;[1020]
4645;0000-2400;;EST;Tallinn Volmet;E;Eu;tv;1;;[1119]
4654;0000-2400;;ALS;Barrow HFDL (ID9);-HF;NOc;ba;1;;
4660;0000-2400;;BOL;Santa Cruz HFDL (ID13);-HF;SAm;sz;1;;
4666;0000-2400;;J;Tokyo Radio;E;FE;;1;;[0718]
4666;0000-2400;;SNG;Singapore Radio;E;SEA;;1;;[0918]
4666;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
4666;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
4672;0000-2400;;RUS;Arkhangelsk Aero;R;NEu;;1;;[0816]
4672;0000-2400;;RUS;Peterburg Aero;R;NEu;;1;;[0616]
4675;0000-2400;;CAN;Gander Radio;E;NAO;g;1;;[0119]
4675;0000-2400;;IRL;Shannon Aeradio D;E;NAO;s;1;;
4675;0000-2400;;ISL;Keflavik Radio;E;NAO;g;1;;[1018]
4681;0000-2400;;AFS;Johannesburg HFDL (ID8);-HF;SAf;j;1;;[0420]
4687;0000-2400;;ALS;Barrow HFDL (ID9);-HF;NOc;ba;1;;
4712;0000-2400;;BLR;Vitebsk Aero;R;RUS;;1;;[0616]
4712;0000-2400;;RUS;Chelyabinsk Aero Brazka;R;RUS;;1;;[0920]
4712;0000-2400;;RUS;Kazan Aero;R;RUS;;1;;[0920]
4712;0000-2400;;RUS;Nadym Aero;R;RUS;;1;;
4712;0000-2400;;RUS;Novosibirsk Aero;R;RUS;;1;;[0420]
4712;0000-2400;;RUS;Orenburg Aero;R;RUS;;1;;
4712;0000-2400;;RUS;Perm Aero;R;RUS;;1;;[0716]
4712;0000-2400;;RUS;Rostov Aero;R;RUS;;1;;[0920]
4712;0000-2400;;RUS;Samara Aero;R;RUS;;1;;[0920]
4712;0000-2400;;RUS;Saratov Aero;R;RUS;;1;;[0420]
4712;0000-2400;;RUS;Syktyvkar Aero;R;RUS;;1;;[1018]
4712;0000-2400;;RUS;Tyumen Aero;R;RUS;;1;;[0416]
4712;0000-2400;;RUS;Ufa Aero;R;RUS;;1;;[0920]
4712;0000-2400;;RUS;Ural Aero;R;RUS;;1;;[0920]
4724;0000-2400;;USA;US Air Force Messages;E;NAm;;1;;[1218]
4728;0000-2400;;KAZ;Astana Aero;R;CAs;;1;;[1218]
4728;0000-2400;;TJK;Dushanbe Aero;R;CAs;;1;;
4728;0000-2400;;TKM;Ashgabat Aero;R;CAs;;1;;[0119]
4728;0000-2400;;TKM;Dashoguz/Tashaus Aero;R;CAs;;1;;[0217]
4728;0000-2400;;TKM;Turkmenbashi Aero;R;CAs;;1;;
4728;0000-2400;;UZB;Nukus Aero;R;CAs;;1;;[0217]
4728;0000-2400;;UZB;Samarkand Aero;R;CAs;;1;;[0716]
4728;0000-2400;;UZB;Tashkent Aero;R;CAs;;1;;[0217]
4747.6;1047-1330;;PRU;Radio Huanta 2000;Q,S;PRU;hu;6;2903;1510[0519]
4747.6;2200-0200;;PRU;Radio Huanta 2000;Q,S;PRU;hu;6;2903;1510[0920]
4750;1100-2000;;BGD;Bangladesh Betar;BE;SAs;s;6;0105;0408[0820]
4750;1100-1150;;BGD;Bangladesh Betar;BE;SAs;s;6;2903;3004[1119]
4750;1230-1300;;BGD;Bangladesh Betar;E;SAs;s;6;2903;3004[1119]
4750;1315-1345;;BGD;Bangladesh Betar;NE;SAs;s;6;2903;3004
4750;1400-1430;;BGD;Bangladesh Betar;UR;SAs;s;6;2903;3004
4750;1515-1545;;BGD;Bangladesh Betar;HI;SAs;s;6;2903;3004[0120]
4750;1600-1630;;BGD;Bangladesh Betar;A;SAs;s;6;2903;3004[0419]
4750;1630-1730;;BGD;Bangladesh Betar;BE;SAs;s;6;2903;3004[0420]
4750;1745-1900;;BGD;Bangladesh Betar;E;SAs;s;6;2903;3004[1219]
4750;1900-1915;;BGD;Bangladesh Betar;;SAs;s;6;2903;3004[0519]
4750;1915-2000;;BGD;Bangladesh Betar;BE;SAs;s;6;2903;3004[1019]
4750;1100-1150;;BGD;Bangladesh Betar;BE;SAs;s;1;0508;[1119]
4750;1230-1300;;BGD;Bangladesh Betar;E;SAs;s;1;0508;[1119]
4750;1315-1345;;BGD;Bangladesh Betar;NE;SAs;s;1;0508;
4750;1400-1430;;BGD;Bangladesh Betar;UR;SAs;s;1;0508;
4750;1515-1545;;BGD;Bangladesh Betar;HI;SAs;s;1;0508;[0120]
4750;1600-1630;;BGD;Bangladesh Betar;A;SAs;s;1;0508;[0419]
4750;1630-1730;;BGD;Bangladesh Betar;BE;SAs;s;1;0508;[1020]
4750;1745-1900;;BGD;Bangladesh Betar;E;SAs;s;1;0508;[0820]
4750;1900-1915;;BGD;Bangladesh Betar;;SAs;s;1;0508;[0519]
4750;1915-2000;;BGD;Bangladesh Betar;BE;SAs;s;1;0508;[1019]
4750;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;ha;1;;
4750;0850-1805;;CHN;China National Radio 1;M;CHN;ha;1;;[1219]
4750;1955-2023;;CHN;China National Radio 1;M;CHN;ha;1;;[0420]
4750;2023-0600;;CHN;China National Radio 1;M;CHN;ha;1;;[1019]
4750;1000-1100;irr;INS;Voice of Indonesia;E;INS;j;1;;[0220]
4750;1100-1200;;INS;Voice of Indonesia;M;INS;j;1;;[0920]
4750;1200-1300;;INS;Voice of Indonesia;J;INS;j;1;;[0920]
4750;1300-1400;;INS;Voice of Indonesia;E;INS;j;1;;[0920]
4750;1400-1500;;INS;Voice of Indonesia;IN;INS;j;1;;[0920]
4750;1500-1600;;INS;Voice of Indonesia;M;INS;j;1;;
4750;1600-1700;;INS;Voice of Indonesia;A;INS;j;1;;[0519]
4750;1700-1800;;INS;Voice of Indonesia;S;INS;j;1;;
4750;1800-1900;;INS;Voice of Indonesia;D;INS;j;1;;[0519]
4750;1900-2000;;INS;Voice of Indonesia;NL;INS;j;1;;[0919]
4750;2000-2100;;INS;Voice of Indonesia;F;INS;j;1;;
4750;2100-2200;;INS;Voice of Indonesia;E;INS;j;1;;[0519]
4755;0000-2400;;RUS;Chelyabinsk Aero Brazka;R;RUS;;1;;[0217]
4755;0000-2400;;RUS;Kazan Aero Melodia Dwa;R;CAs;;1;;[1118]
4755;0000-2400;;RUS;Mosdok Aero Assistent;R;CAs;;1;;[1118]
4755;0000-2400;;RUS;Novosib. Aero Katyusha;R;CAs;;1;;[1118]
4755;0000-2400;;RUS;Omsk Aero Keepl;R;CAs;;1;;[0217]
4755;0000-2400;;RUS;Samara Aero Amba;R;CAs;;1;;[1118]
4755;0000-2400;;RUS;Yekaterinb.Aero Alenki;R;CAs;;1;;[1118]
4760;0230-0245;;IND;AIR Delhi;HI;SAs;le;1;;
4760;0245-0300;;IND;AIR Delhi;E;SAs;le;1;;[1216]
4760;0320-0335;;IND;AIR Delhi;UR;SAs;le;1;;
4760;1530-1545;;IND;AIR Delhi;E;SAs;le;1;;[1016]
4760;1546-1600;;IND;AIR Delhi;UR;SAs;le;1;;[1016]
4760;0130-0430;;IND;AIR Leh;LAD;SAs;le;5;;
4760;0210-0430;;IND;AIR Leh;LAD;SAs;le;4;;[1219]
4760;1130-1650;;IND;AIR Leh;LAD;SAs;le;1;;[0720]
4760;2130-2140;Fr;RUS;E06 Russian Spy Numbers;E;RUS;xx;1;0111;2802[0119]
4764;1047-1330;;PRU;Radio Huanta 2000;Q,S;PRU;hu;1;1610;
4764;2200-0200;;PRU;Radio Huanta 2000;Q,S;PRU;hu;1;1610;[1020]
4765;0030-0402;;CUB;Radio Progreso;S;Car;be;2;;[1020]
4765;0300-0330;;TJK;Radio Tajikistan;R;CAs;y;1;;[0319]
4765;0330-0900;;TJK;Radio Tajikistan;TJ;CAs;y;1;;[1218]
4765;0900-0930;;TJK;Radio Tajikistan;R;CAs;y;1;;
4765;0930-1000;;TJK;Radio Tajikistan;UZ;CAs;y;1;;
4765;1000-2000;;TJK;Radio Tajikistan;TJ;CAs;y;1;;[1020]
4765;2259-0300;;TJK;Radio Tajikistan;TJ;CAs;y;1;;[0820]
4765;0000-0100;;XUU;Unknown station;S;SAm;;6;1610;1610
4774.8;0807-0500;;B;Rádio Congonhas 91.3FM;P;B;cn;1;;[1020]
4775;0000-0207;Tu-Su;PRU;Radio Tarma;S;PRU;ta;6;2903;3004[0320]
4775;0000-0207;;PRU;Radio Tarma;S;PRU;ta;1;0110;[1020]
4775;0950-1050;Mo-Sa;PRU;Radio Tarma;S;PRU;ta;6;2903;3004[0220]
4775;1050-1400;;PRU;Radio Tarma;S;PRU;ta;1;;[0820]
4775;2000-2300;;PRU;Radio Tarma;S;PRU;ta;6;2903;3004
4775;2200-2400;;PRU;Radio Tarma;S;PRU;ta;1;0105;[1020]
4775;2300-2400;Mo-Sa;PRU;Radio Tarma;S;PRU;ta;6;2903;3004[0320]
4783;1605-1615;Tu,Su;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0818]
4783;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0620]
4790;1230-1330;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;
4792;1700-1710;Mo;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0103;3004[0419]
4792;1700-1710;Mo;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0109;3110
4792;1930-1940;Fr;RUS;G06 Russian Spy Numbers;D;RUS;sk;1;0111;2802[0119]
4800;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;q;1;;
4800;0850-1805;;CHN;China National Radio 1;M;CHN;q;1;;[0420]
4800;2023-0600;;CHN;China National Radio 1;M;CHN;q;1;;[0420]
4800;0035-0040;;IND;AIR Delhi;E;SAs;hy;6;2903;1610[1019]
4800;0125-0130;;IND;AIR Delhi;SNK;SAs;hy;6;2903;1610[0116]
4800;1230-1235;;IND;AIR Delhi;E;SAs;hy;6;2903;1610
4800;1240-1245;;IND;AIR Delhi;SNK;SAs;hy;6;2903;1610
4800;1512-1530;;IND;AIR Delhi;HI;SAs;hy;6;2903;1610[1117]
4800;1530-1545;;IND;AIR Delhi;E;SAs;hy;6;2903;1610[1117]
4800;1546-1600;;IND;AIR Delhi;E;SAs;hy;6;2903;1610
4800;1730-1735;;IND;AIR Delhi;E;SAs;hy;6;2903;1610[1020]
4800;1735-1740;;IND;AIR Delhi;HI;SAs;hy;6;2903;1610
4800;0020-0215;;IND;AIR Hyderabad;TEL;SAs;hy;6;2903;1610[0420]
4800;1130-1744;;IND;AIR Hyderabad;TEL;SAs;hy;6;2903;1610[1020]
4800;1220-1230;;IND;AIR Hyderabad;UR;SAs;hy;6;2903;1610
4805;0900-1040;SaSu;B;Radiodif.do Amazonas;P;B;ma;8;;
4805;1040-1300;;B;Radiodif.do Amazonas;P;B;ma;8;;[1117]
4805;1300-1400;Su;B;Radiodif.do Amazonas;P;B;ma;8;;
4805;1445-1800;Mo-Fr;B;Radiodif.do Amazonas;P;B;ma;8;;
4805;1800-2045;SaSu;B;Radiodif.do Amazonas;P;B;ma;8;;
4805;2045-0100;;B;Radiodif.do Amazonas;P;B;ma;8;;[0119]
4810;0025-0215;;IND;AIR Bhopal;HI;SAs;bh;6;2903;1610[0420]
4810;1130-1742;;IND;AIR Bhopal;HI;SAs;bh;6;2903;1610[1020]
4810;1742-1900;;IND;AIR Bhopal;HI;SAs;bh;6;1408;1408
4810;2245-0025;27Sep;IND;AIR Bhopal;HI;SAs;bh;6;2709;2809[0919]
4810;0030-0035;;IND;AIR Delhi;HI;SAs;bh;6;2903;1610[0420]
4810;0125-0130;;IND;AIR Delhi;SNK;SAs;bh;6;2903;1610[0116]
4810;0130-0135;;IND;AIR Delhi;HI;SAs;bh;6;2903;1610
4810;1230-1235;;IND;AIR Delhi;E;SAs;bh;6;2903;1610[0917]
4810;1235-1240;;IND;AIR Delhi;HI;SAs;bh;6;2903;1610
4810;1240-1245;;IND;AIR Delhi;SNK;SAs;bh;6;2903;1610
4810;1500-1530;;IND;AIR Delhi;E;SAs;bh;6;2903;1610[0720]
4810;1546-1600;;IND;AIR Delhi;UR;SAs;bh;6;2903;1610
4810;1730-1735;;IND;AIR Delhi;E;SAs;bh;6;2903;1610[1020]
4810;1735-1740;;IND;AIR Delhi;HI;SAs;bh;6;2903;1610
4810;0900-1200;;PRU;Radio Logos;Vn;PRU;cz;1;;[1218]
4810;2100-2300;;PRU;Radio Logos;Vn;PRU;cz;1;;
4820;0000-0030;;CHN;China National Radio 1;M;CHN;t;1;;
4820;2230-2300;;CHN;China National Radio 1;M;CHN;t;1;;[0819]
4820;0030-0300;;CHN;PBS Xizang;M;CHN;t;1;;[1219]
4820;0300-0600;;CHN;PBS Xizang;M;CHN;t;1;;
4820;0600-0900;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
4820;0900-1000;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;
4820;1000-1800;;CHN;PBS Xizang;M;CHN;t;1;;[0220]
4820;2000-2100;We-Mo;CHN;PBS Xizang;M;CHN;t;1;;[0120]
4820;2100-2230;;CHN;PBS Xizang;M;CHN;t;1;;[1019]
